VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
1,4.983,5.8095,3,1,cPKbXJKy,YqkX,kRtYmHQDkn,2.21,1,CkMGgprjj,QXug,3,4,3,rbuL,2.3458,2.65,9.80302,2
1.17186,6.58,8,3.011,1.9396,1.8073,nXnW,5.65766,1.176,2.26,1,2,4,2,WxaC,3,2,1.88,dGoZjxyVyf,2.30906
3.47539,6,7,1.495,jN,5.3851,1,5.96724,AwPMU,cTQ,2.2,3.73622,2,2.71079,2,IwNK,2.0752,TJr,CObFESUESd,gjS
3,pBfbSxg,2,3,TR,7.9066,1.86,3.12707,2,tDx,OQUaLbKQF,1,2.73272,2.34068,YYyl,1.8,qot,1.47,5,1.22657
1,vISxwgV,4.1629,1,1,XSOKEkpG,gQjQ,CjwfgVSXvH,2,2,3.6,1,2.5571,2,2,uDah,saZ,1.05,yviGVmcIxf,2.49266
mtNw,2.939,2.0061,3.857,Bs,5,LYzh,osmBUAZpbO,3.19,xXk,ParrZANRC,2,1.59054,WpeXP,FBrE,2.9,1,1,6.12409,1.69221
3,1.997,1,MWHD,1,6.3531,3,2,2.075,2,2,bYYb,nKxpJ,ozjDf,gjVj,3,vnh,1.07,uHsCbYEVyp,2
tVXK,6.955,1,2.594,1.16758,4,2.52,SMrKxZNYNz,2.385,LVQ,6,YdRW,bEYAL,3.50678,rjhf,1,1.9463,GsX,1,2
1.631,6,6,HJag,1,4.0114,xZHG,1.92265,2.015,alQ,tHKYWECiL,PyBc,OBEps,GmtJw,XfIK,Surv,1,1,7.29565,1
1,2.547,8,1,1.69872,2.0033,2.07,2.78258,STjIj,1.3,8,2,zhyzp,4,DMTz,3.86,2,skC,3.33646,1.24653
fIIg,1.769,1.5536,1,tH,7.7982,VXhN,5.43309,4,2.45,8,2.34464,pGxLy,3,WmrD,2.54,2.6197,MXv,3.68552,2.06156
2.25094,1,2,hMYB,1,seVufCgQ,3.37,BSzydvqJfH,2,usz,pIhOCQeHS,BqBZ,nqOOZ,4,Ucko,3.56,1.2018,1,bymXANYMjk,aru
2.14458,6.145,5,1,1,OokJQChu,1.54,4,hWWPo,2,EBAbxHUkn,tphE,3,1.16469,1.1416,1.21,ydU,1,vmWKxXiwBD,1.84034
1,3.996,zKSVBqasV,2.94,1.11388,fLiXtNHa,2,TnCCrsVWlE,1,2,8.37,zoZd,2,1.18486,fssb,1,VwF,1.5,9,cRf
3,5.504,ibAQxPXPG,Jrgc,oG,3.8028,ntay,7.62127,2.175,2.18,8.14,2,3,4,2.7657,XNFo,hkc,YHo,9.86245,dYp
1.95073,4.018,6.2043,3,1,3.7009,3.08,sFEBEzHTDl,QugIk,wxS,PSFYtBTKt,3,3.18541,2.82131,Zhjk,3,1,2,ZfjaQITEup,2
1,6.412,OAhCHMfZK,PFkZ,1.37116,3.3461,IYDj,2.08698,nAveT,DhD,2,3,3.99671,opavD,2,2.77,1.7427,2,1.85564,iSA
NlSU,gpJElBj,7.6268,1.804,dd,6,1.12,7.67949,4,EhA,2.55,1,CXAHj,1.12341,2,1.11,1,2,7.34431,Cuz
BbBv,rbRVVnl,5,2.045,us,3.7939,1.39,1.2886,2,2,vdSZaBHaJ,3.65308,4.41831,3,HPLO,oUEW,1.5217,Lcn,9.89159,2.13474
3.62141,6.331,4,SpCJ,1.02585,5.0491,KbST,7.28824,4.175,ghf,6.65,ftcO,wGBys,yiGYd,3,1,2,nyr,6,2
1.33943,SsnvKNh,XvbmRSLDS,1,1,AvtWKqwL,2,7,3.327,2.01,2,lJcI,1.12606,lMHVm,2,QhGf,IjH,Csx,6.99559,LBN
1.56419,6,1,1,1,EpislNxH,3.33,9,1.135,2,8.02,1,4.10157,mCcdL,idfF,1.68,utp,1,7,2
2.71905,TYSnOWC,jtQmEGpRY,2.251,1.92396,3.4297,zOEG,6.43813,1.561,1,3.04,1,4.91642,CGQxC,3,3,dTJ,1.41,xbWkYvdGkc,2
1.8776,6,5.9878,3.459,qH,5.9013,GoeK,1.11722,2,2,2,1.23101,pOeXQ,1,ysXd,2,2.9805,1.07,9.24366,1
2,5.851,2.0339,3,KF,4.12,hpWb,6,wrRPP,1,3.86,2,2,yVCwT,rtGM,2.01,1,2.46,7,1.5709
3.4286,4,3,rLhl,1,7.229,WHxm,6,aIOzx,2,4.99,cSfQ,3.32986,yfDWx,3.3444,3.33,2,2.13,3,1.68741
kruU,nNZQcBF,5.6588,2,1,KKpgrbyg,1,4.82668,4.65,2.27,3.47,XFUo,4.63326,4,3,sSfi,1.6686,1.5,9.80494,2.72582
2.15672,5,hRoNfIxbY,3.76,1,3.236,xWOT,7,lPnGQ,1,rFEwuLVMS,1,3,uokGx,hCjg,RbpV,1,thv,OknaxQAdxT,UnU
2.82982,6.862,ZtVsKSHHk,Gkuq,1,2.0108,3.51,YswcZnFbGA,2.888,eZA,4.82,2,1,1,2,1.69,2.8155,fmC,7.45639,1.35207
2,3,nwXILZeuM,2,1,iTeYAjwc,Iobb,9.68795,4,2,8.05,1.6508,3,2.74629,2,ZbuH,2,pGG,3.93541,2.06685
2,fxyiDge,7.4524,2.726,Qt,1,CFHR,KDMHlBoPxG,1.352,XaT,mcqDNyoeU,1.10298,Rrdhh,4,1.3549,3,yZh,2.67,8.53108,SoH
zqyY,OrSQILs,5,1.134,1.85745,2.7573,UIIp,8,1.611,1.89,4.13,1.51643,1.94178,1.28407,2,eUwf,sdf,2.72,6.85735,1
2.36592,3,gOGJTwpyF,1.685,1.85286,2.2471,3,3,BTxXQ,1.25,1.77,2.04,3,1,1,1,2,ope,4,2
1.61011,5.402,2,fCMm,1,6,CWzu,wOblOPaKGD,4.819,UrM,3,OVXu,EUWdJ,2.7547,1,3,2,2,1,2.40115
hJmS,5,QTtiZkjvw,1.141,oi,gjFFoukV,zuCB,3.23798,4.257,2,KjDlMNlkK,1.39381,uGQke,1.6194,3,ZYWz,2.3789,2,CLvemHQPWb,1
3.55897,5,7,3.621,1,5.776,1,cfkDPuIMTv,1.985,MZn,VfHiuGyGJ,3,1.63619,4.80188,mGLM,3.84,xvi,2,5.03856,2
3,6.197,KZWyJZNFA,LQEM,1,6.1565,2.61,9.65056,mqXst,mmI,adlFwMMnG,TvRe,1,3,ozwv,TtTo,qFr,feW,8.28298,1.50334
AdBg,oklMvzQ,FFrFTvVxv,2.84,wC,5.8841,RleP,iBPVFuwLFH,2,2.55,4.67,3.0561,3.50453,KHDSP,HIRL,2,tNn,2,9.53581,1
3.41058,ekKPeIq,8,2.505,pf,3,1,7.6695,2,cWs,8.01,1.79646,1,NDmKV,1,1.33,2.8169,1.65,gahdYXOVdu,wna
zrjo,3.712,OJlgaWWKm,2.074,1.19407,3.2709,Msgm,QZMuCXdKFC,3.534,2.87,8.97,1,2,2.50613,2,FbFM,Kum,zdZ,7,HKF
1,ZrpQBHh,3,2.423,1,JzvGIVAv,2,WDJpijNSxO,lGkiK,1.39,4,nLQL,2.9405,2.49955,IlBk,2.88,hsn,2.48,8.28716,YOk
XnWc,tESkgDh,5,1,yA,5,2.24,FOtAhtEcdw,4,2.83,3,3.58448,4,4.91394,3,3.47,2.8252,1,1,2.84763
1.37964,3.6,uXdmBMPWv,2.669,dN,EqHbcyie,2,9.21904,3.063,2.44,5.37,1.55115,3,3.9441,2.5237,PxdW,1,lva,6,2.86232
2,4,5,2,EF,vrxmCBQv,3.08,SbTniHhOxN,2,2.28,3.18,1.80542,1,BeLZx,1.6043,1,1.5412,odQ,1,1
1.15934,1,6,1.979,oj,ZRHgtqTO,foJq,ishQlkwrtf,4.484,1,3.4,2,psfPs,1,UfIp,3.02,2,EpL,KcuwFtbqVW,2
2.12878,5.138,AimwcSoLy,1.276,1,7.3755,3,2.1364,4,2,JNJzAXcVT,2,2,wpTJH,2,pwJz,cyt,2,5.88709,mtK
xhuj,1.567,7,2.476,1,5,3,QhvlkzGQFd,1.737,1,4,Kldl,2,1,3.9674,XWZL,1,2.56,UpownNysIP,2
1,4,vSKRETuNP,1.242,1.87612,1.6497,3.22,DsjWHXYyvZ,nNrFP,1.13,3,3,pTGRX,mNJBM,hPbI,2,MRR,1.82,1.69101,PBM
1,PaCmDrd,ikpEDgNdS,3.529,1.33153,PuktUcSt,2,7.58933,iVEbw,2,7.89,1,4,4,2.9572,oFtA,fmJ,1.9,9,1
BmyV,eLNatUH,6,3,1,gJKBzMyv,uREr,5.38908,3.954,2,3,2,1,3.09956,1,iDfa,lwq,1,BLncJXTuYe,2.8779
1.38293,1.37,7.0874,2,Fe,1.9737,1.83,7.00535,3,2,3.15,APHp,1.50831,1,CxKT,LGoG,2,GWc,yoJwTQnStB,MPX
3,VXqpTuU,OnIqzxxBI,3,1,2,3,1,1.781,ZjK,3.42,1.67442,JIXtN,4,1,nrPx,lrc,eka,8.56636,1
3.10405,IwilatT,6,EoWm,1.11877,2.701,2.47,APgscgGGKT,3.144,MGy,5,2.891,QuncE,oXGVh,3,BDVj,sgL,Got,7,2.5353
ddvY,JAfdIBO,viJVRIBzI,qkTP,XY,5,2.36,2,3,2,6,1,gmMqK,1,3.5071,3,2.1063,3.0,irReGWukrd,1.37867
1.69253,oupDcWT,7,2.082,Oh,vLvHNXdl,3,2,2,1.79,XOzCuvykR,3,jZYyH,GJwfa,2.4177,2.35,bnY,1,HKzUStgJPp,qLV
2,glHFKhO,1.9931,3,1,ZKwLvSrA,3.73,iMlLbzSaXI,1,2.86,4,1,VnJcb,zrxcO,3,3,1,1.79,3,gWw
OrZl,1,6,aMSK,1.77348,4.0335,oPNt,6,eyesW,MnA,4,1,3,3,3.1464,3,2,1,8,EUg
1.68522,1.437,7.3415,3,1,liQQITps,2.66,qiIgpZbpqo,1,DCe,dJAawvhVC,2.16454,4.88351,Siwin,dxnv,3,2.8691,2,SfMLwnPKyY,1.7919
EZUt,5,1,1,1,VtljZRNs,pbrV,3.18134,1.324,2.84,YcBjDfLMf,lNuJ,QnMad,2.29473,2.7457,2.49,1.6941,1,1.50301,CQX
3.81181,3.405,5,1,1.94599,7,3.34,4,vUesT,2,8.51,3,4,2.44351,1.0781,1,2.3172,1.13,6.03848,HCn
3,1,3.8586,RTWI,Ig,7,1.58,1.58028,2.551,2,4,EPJm,2.43207,4.91356,2,3.72,2,VVw,1.70075,zrm
EqYs,3.997,8.5382,ruub,1.48305,zXEtAgjf,2,wiVwvdYkBZ,BqscB,mEs,5.98,2,iqmDR,lqncc,3.1791,RfvO,vOk,1,6,2
1.47954,1,6,1,Wu,4.7639,2,5,3,qVk,5.73,rCYQ,2,1,PNjx,2,1,2.21,senadYsIWk,2
1,2.745,hfHPXoSOs,KpFj,1.11772,5.8309,Mfhs,2,hMPlM,1,1.41,gRrj,1.30978,TipfD,1.2198,2,1.9094,2.85,8.63998,2
RrIo,3,eNYPwxgTX,1,TM,LvwayKTF,2.69,7,ToBxZ,nHD,2,3,3.40195,3,3.1398,3.54,1,2.42,llryjpEppq,1
3.30785,3,7,2,fa,1.0434,CHuP,1,3.886,2.59,1,2,IHWau,2.26647,1,1,aof,QMA,4,aoH
1,3,azhMhEwxl,1.973,1,cLsTvHWv,3.76,6.57884,2.788,1.72,gvbeFnDry,2.12919,GSvZc,iEIzQ,2.2918,2,jsA,LNi,pVKWSpylnI,1.31573
3.60587,lVBkLll,8,2,1.5742,1,2.29,VxAQVEySzk,1,1.34,TvnZnaxTJ,Clps,3.33113,2.38409,3.2309,3.26,dAv,2,TGwjghWLEG,1
3,4,2,1.372,1.26861,vDWKcEsE,3.12,9,1.234,2.03,AFAiHOgTD,Mjwt,2.29148,WMtkY,1,3,AOe,1,ehyzTCiHEz,2
1.48586,KGYPQiD,1.2612,3.644,pA,ZoXUnURB,jvKd,rZcQUbGWEn,1,1.81,AAqrsYoOw,2,zzpsm,kiUpw,1.291,1.17,jGl,2.89,IrwwdyyXGu,2
2.18727,5,5,YmHr,1.79464,3,3,2,CVmKM,2,MHgzZYhKm,UhGi,XsnYn,YAFLl,tXRp,dfNQ,2.7913,IUO,7.50848,2
1.42972,4.499,4.8958,2.915,oO,pMiKyBek,2,hXbOovGWeG,4.726,2.22,6.82,WieM,GhCNC,LiSbH,2.1045,1.24,1,2,fRozzkPpwP,1
1,crvuIOe,iVsHbazFy,sQuZ,1.10499,2.7801,3,PisqkAWNJX,4,NtD,eFwSaaWFi,2.59408,3,1.29299,1.8621,1.08,1.3244,2.01,aPhyUrruqz,qdq
1,2,KoRYAfveT,2,aZ,QcmSiSuS,3.19,8,4.67,gFa,2.59,2,KAaCr,2.2238,2.5029,qgaL,XVz,hbu,1.59086,WCm
VKbR,2,3.5541,lFwg,Gq,VTKmxvbI,1,5.27484,1,2.9,8.25,1.9413,OsbZB,xIlyR,3,YivF,cMo,lQb,RgImcxDjYz,2.90213
EMIU,4.964,4,jllc,No,5,2,3,3,Jzm,3.31,2,Svveu,CAbil,JSya,1.06,1.7346,suz,5.78633,2.73776
1,1,Wjamtjgga,1,gB,4.0626,3.56,8,PWNSV,1.38,asvarUsDr,Jufm,2.52681,4,3.1599,dClv,EcV,1,fovNjWYJgg,2.73598
USgN,cXkyECx,5,1.053,1,XAJrtfXr,nvwL,6,3,BEq,RLToFFWVm,sdHC,1.44944,4.40907,2.6995,iZog,uNS,1.74,DSInVCYkvQ,1
ffIR,vRnAiFG,7.5092,2.664,Ih,GlmNQOHe,2,EjClzUZTet,4,1,3,1,AVZcZ,FlEWW,1,1.63,2,Mqv,2,1.95408
YDhD,kyzDQgT,1,3.174,1,2.2186,XFPa,3,3,2,3,3.76823,EUYrW,cliPw,2,1,2.8305,2.38,8.69791,dsh
2,ukYwYni,5,hORN,1,6,nePm,7,1.454,2.71,QwCyuAImy,Thdv,MWIRF,2,3,1.62,1.8254,1.69,4.87894,1.39897
2,6.343,5.3493,1.51,1,4.617,3,YjvAKWYjBy,2,vZX,5.51,1,2.79918,2.44309,1.5249,puVv,2,eTi,7,UzN
Uroq,mzVMtsj,5.2191,2.055,Tk,3.0796,2,7.60505,1,1,7,1.21501,vBXBn,4,olnr,1,1.8834,2,5,cii
1,3.298,ImWSoSVff,2.088,1,6,3,6.52658,4,xWY,3.97,2.56578,3,1,2.7302,3.49,2,gbh,3.80073,1.2747
2,zYgAnJU,NyEfQnXmg,2.039,1,2.982,2,7,3.413,2.55,3.08,3,tBkJb,4,2.5879,3,2,1.17,3,2.31964
1.95843,1.885,8,3,ZQ,7,3,2.08592,HxYuJ,1,7,2.8291,iNXXj,3,fQBH,2,1,dUB,8,pxt
wMJX,ZkoMHQV,vmuPrVwyP,1,xi,5.4457,3,5.41555,4.411,1,2,3.18422,4.67473,2.66875,3.7571,2,GzU,2,YYywmSOoKh,2
3,4,2,3.375,1,4.9338,ZZxs,6.59777,1,1,7,1,4.82783,1,aJac,3.41,2.3714,1.79,5.30359,2.14414
3.29302,3,7,1,TG,hTdFpOWA,Jrbd,LlQzFMfeZZ,dvveV,UaQ,3.46,2.77977,3.71232,tikEq,kHND,2.45,2,1.86,2,1.51399
2.45814,QIzeuGU,6.4345,NNSs,1.7828,7.7356,XxnZ,BQamNLZjuC,1,WmX,7.26,3,2.265,Xhelw,2.6162,1,1,FoT,3,2
3.39159,fKFzElK,6,3.547,fe,4,2.85,1.75755,KrAjN,2.88,5,aBix,2.98314,XzPUl,3,3.44,1,1,8,tNr
2,1.787,3.5475,QKsO,cG,MSLFBTgL,3,LzBxeRMJCP,qgLax,2.07,2,GmEL,2,JxQPf,2,3,2,1.55,6.39783,cOg
2.10728,5.757,fqTeLvQIG,1.995,PC,uiyVtLfM,vJyH,4,iIfrb,2.13,vdIBoxILp,3.38493,2,DdMRi,2.6748,3,1,1,JFPMabfPEi,2.90802
QSiD,1.925,8.8602,cMzt,1,6.2865,1,NvvDosPqaG,3.074,QEu,tvPhELDrW,1,dqIwU,2.76889,1.9653,3.08,1.4308,2.48,4.10748,2
3,cvSJnMz,1,1,1,7,3,9.75581,4.383,Neb,5.11,sqZl,3.06803,1.52651,kEjy,1,2.5429,oAv,7,1.69651
2.94523,2.407,2.1009,2,1.78596,3.3882,2,6.59025,GPMVW,2.02,3.78,2.56585,SPCUo,2,VbGO,2,2,1.97,1,Ory
2,3.401,CmArdHdYz,nZuf,1,4,PHHX,7.60067,wOGrM,2.63,8.09,3.27239,3,1,Rhxv,3.86,2,2,3,CKC
2.67622,HADsLCY,aUyWMYXyx,1,1,5.5151,2,2,YJczQ,ais,6.22,2.47986,zVAui,1.67824,mGhr,2,2.9994,1,6,2.39764
3,rBQzOBd,KtrIExpIm,TIFe,kC,4.661,1.7,7,4,pqD,5.11,2,4.20553,3.35186,QVKd,NQaM,2,Npg,7.95333,2.51756
1,2.783,SoRFoFbGy,gTkE,1.35713,dBTPyYof,1.12,2,1.047,zmo,3,3,3,JbQhk,3.595,3.0,2.9062,1.64,6.27851,1.92378
2.25622,WpaNSYu,6.5137,Zfez,1,2,3,3.98722,4,2,4.23,1.18031,PcBjo,3,FnZQ,3,1.7143,EHC,3,2.31654
1,3,uzRkYsfYO,2,hw,4.7476,ftuU,pblHNdjxAw,3,1.98,5,1,2,UotGI,1.7422,2,2.2419,2,8,1.9054
2,6.934,OQJyZbdrX,1,1,5,3.61,4,4,1,7.85,1.1826,bANxL,LoTVk,2.8919,3.9,2,1.62,egnCMoJbaY,1
xdEj,3.013,5.4597,gGkP,wd,1,2.99,9.1577,1,1,EhrcqNwrU,2.67327,YruRo,3.71854,NXQy,1.62,1,ykB,jqzxiEBEPC,1.44729
1.95988,2.414,PQdotvjlq,2.384,1.65585,KIiVXMaO,UOJn,3.99684,4,uVz,7,2,1.28003,2.53174,1,3,XwY,1.54,dcniQjlupG,1.58757
2.31999,EEPNPiV,6,1,1,GDgkUmhv,3,4.57515,XwQKT,2.46,GZNYkkCMN,bzdG,gvNcP,oJBdA,mpaL,bVTs,mLg,2,6,2
gztC,4.904,5,lkcv,1.43464,vUgujfyR,1.71,3,DBYjd,1.87,8.59,lroC,2.0296,LnsuT,1,LyEJ,1,2,5.60922,gDe
3,drFLAtW,2,QmgH,1.43766,7,2.23,2.03522,oCHSP,2,7,2.54517,2,4.48511,1.9403,1.71,1,1.14,ScUMMkrnRJ,2
2.83182,5.93,7.7899,2,1,5,ocmm,lDnpuxAyvI,skqky,1.68,6,1.91061,4.99502,iZLVf,2.8635,GVzs,1,ozO,9.96624,2.55474
cULV,5.767,8.0758,3,1,1.6857,3,4,4,QGS,8,RzXz,4,BCuLY,eYkB,2,1,Xtg,5,POP
2,YVNjgSr,2.2631,3,1.53934,1,1.96,1.53508,1,iLX,LiYUwsDpx,bPCJ,1.02895,ucSeW,2.5575,1,2,2,1,1.03691
2,2.783,SMqZZpeXu,1.673,yd,7,JSUr,2.81727,pWhNC,2,VNcylMRpe,1.29044,FwyDs,3.72662,1.2155,aXKw,YOU,1.23,PKLeyJLFdM,1
1,mhQZNDu,7.3154,3,1,ZbQFRkgX,1.08,NdwxqTcYIO,2,2,6,dyry,UOQPq,vNwbc,ysRR,1.06,1,1.93,8.34623,1.66005
2,2,7.8458,MtCU,1.87901,7,2.63,AKYwFfHBfn,4.569,2.56,OxtrnRaaD,2.89733,3,OsRfq,FkyQ,1,1,1,1.77197,2
MsfR,3.645,JfdaJxFCF,3.212,1.88794,4,2,epKTcMZPOi,2,tFR,MXbxhrXLZ,3.70608,oVwnB,aAPdS,1,1,nbc,1,4.12446,1.99164
3.42649,2.558,2.3188,2.389,1,6.4509,TaLc,6.77195,2,KXF,vQkIeEtDS,2,4.085,UAaBt,3.5366,WEmw,1,2,qluDBBaHnx,Bdn
1.84207,3.99,5,GJFy,1.90523,5.7641,2.83,JRlamqFeGg,1,2.59,VyEEyKtwY,PpzH,FRnAc,1.21976,3.8422,XJUY,1,NEz,DFWUMEwHPD,2.86378
WJNp,VTriggU,8.0818,OQXh,1.92403,UqiAhjrE,ipyG,KtbtJNAtRt,eoZtN,Aqn,ZHgBXEqMX,2,2.9187,nqapC,3,ORyD,2,2,ylkmzZLYlj,tqU
2,3,ZLNAzXeNj,1,xE,1,2,2,3.362,unz,7.88,2.79038,ZLjfb,PSrHW,iuSA,3.71,ktS,1.93,9.18284,2.65516
2.63007,2.351,7,HWNU,1,5.0288,ZdGe,9.79366,2,1,zSOksYntY,3.48189,cTHQT,1,1,1.94,MTS,1.5,5,1
NYzN,OCNypwC,YGNAAlzki,2,1.15825,RcnhFFwj,KIrX,4.65275,3.191,2.18,7.43,1.43471,1.90857,EWbzh,3,3,kyQ,yGC,6,1
1,SzPLxaS,zUuiFZtDp,1.72,xa,wwawAlBp,3.0,6,2.974,DGu,6.47,YDlz,kBSpP,3,cJUm,ncaS,IHW,GQJ,UKnhKPtXOE,1.23011
oqIw,GfXAjWl,CqdXJPutc,rhdN,aQ,cqAupxfb,2.17,5,4.314,1.26,8,3.40341,3.48112,3,1.0535,NSOL,1.05,FEn,3.49663,1.50805
3,3,biIJUkxGg,3,1,vlFcJnYp,2,2,QFLpR,XnT,5.15,3.95417,gINTm,1.46643,2,2.16,Kzv,2.13,zaqLZIFdPr,1
ylNt,pvRqoEJ,5.6417,1,cY,3.2663,2,nGDIMSPzpM,2,2,CwLfeQbMI,2,4,2.91999,wtqs,1,2,2,1.70673,Ynz
eqZU,3,3.2732,1,1.12832,5.5658,3.23,3.45679,1,2.33,VrlDYOMUi,3.3806,1,LqFce,aXyB,3.48,hQm,1.93,SbxibCIKuc,2
gPCI,4.3,7,BWvy,CE,4,vIeR,1.22491,1.631,2,5.83,1.31828,DlqwS,4,2.2168,Tmzd,1.9105,tlr,jhcwAsGlBj,2.03526
zoSo,3.609,LCMRNUKNK,AwgH,1.15408,1.0836,3.03,7,Mssxa,1.94,3.84,2,1,IJgWh,2,3.3,1.7477,2,pgBrnJaIqX,1
1,1,5,3,1.63803,6,3,5.66104,2,jOP,pTBXvstdM,1.9608,2,1.03465,1.6895,2,2.5638,2.43,2,sLb
1.01544,3.555,3.8451,1,wh,2,1.88,6.86866,3,2.52,8,2.08131,4.90792,1,2,JMyo,2,2.04,6,1
1,6.99,fprAyCPkI,2.044,MG,7.7433,3.45,3.47224,wJysL,1,6,2,fSLui,JdIhT,SHmo,2,1,Rpc,TCIQOmrHqv,1.785
1,3,1.2347,bzbe,1.37405,3.3267,3.59,qjSPCvisfF,4.744,2.45,7.48,3.97806,wpEHe,QOESk,bkzP,2.17,2,2.59,2.61467,1.33569
2.22542,6,2.779,mkkr,1.70085,3.1002,2,4.13313,2,vJL,5,1,MoYeu,4,VkCe,3,1,dVJ,5,Icm
3,3,6.0208,2,dp,2,TuQQ,8.0822,xPAFF,jRf,MhYnzCqep,3,3.6231,2,1.177,neCW,1,2,7.72074,2
2.10656,5,3.3838,1.649,1.04153,7.792,WZtA,1,4,1.94,3,1,2.58716,vkJIl,1.3875,1.59,1,2.95,4,2
1,RWMZHtQ,8.5308,1.51,Bw,1,2.36,1.69873,EWIBT,2.72,3.83,1,1.02948,BsYsl,2,1,tFH,iXK,YtlKRVoncz,sDS
Gzkn,5.552,eAfxRFIQL,2,jw,2.4081,2,8,2,Fig,2,XPQQ,3.56738,3,KuQJ,3.55,1,rjD,5,1
2.42931,KOrTlJN,8,fhzs,fY,RCdDuaOQ,2.33,3,1,Fme,8,2,4,3,3.9286,rtKi,sUG,jld,8,1
1.66993,6,CVjeHIfcD,MRcK,cm,5.4011,1,4.85733,2,1.63,7,Biiv,4,3,UklT,JhMi,bNk,2,LklydOsHfN,1.09099
2.91972,4.8,4,svfp,1.26394,4,1,eGwBJocgcu,HZNlx,tsI,3.78,bVyX,4.03443,FQUEA,3,1.07,1.3486,2.82,8.08313,1
1,4.32,waspYCOrN,jaPx,1,7,1,1,3.868,2.86,3,AREr,3,1,Qgbr,iOmf,BbY,2,7.19046,dOJ
jrDt,4.658,2,3.431,AJ,yDEThdAT,1.36,rpspSWOwXM,mUhry,1,3,2.73146,2.24206,2,2,3.44,1.2084,2,7.16399,sfu
tTwy,4.492,6.263,nkue,1.81434,1,2,8,3.949,JCw,6,1.30215,gKuDu,4.78881,3.7237,3.58,2,2.27,uLArqvOlkZ,uyn
YTAd,HyFrOBx,XhFkYWGLN,1.569,nn,7.083,2.91,NOtvaziRSU,1,2.98,7.88,1,UKrOF,2,2.3247,1,2.3518,1.52,xYbvjgFcLn,NOK
3.16243,5,hkuJNMFRQ,1,1.13605,1.8712,bMyU,2,2.959,2.47,5.97,bNmo,cHKTQ,4,cKTN,2.66,2.8847,IdK,xECCNOiGvR,GzT
3,2.159,2,3,1.65707,7,xLGX,2,1,2.94,bknHOJONs,2.99335,4.20623,1,1.2463,1.5,2.5668,2.74,7,NvI
1.88136,6.476,4.0139,qluv,1,1,KYPv,DRUdCdfgWz,1.509,ifU,uttXJMWOm,2.02299,4.22546,3.62602,bhvI,alef,1,2.21,5,Qox
sDGm,5,gLkmKJXvZ,3.006,1,1,3.66,hJOUtkWRRq,1,2,xUWNvkEaY,3.20966,1.82614,4,DNAX,2,sxi,ODl,4,2
1,2,2.0451,nYSA,aX,7.634,VRXv,OfhlRsbxtV,1,1.23,4,2,4,TNNuk,WAiH,2.59,MIl,2,SuUjjkaYMx,2
2,SBgalEn,7.5975,1.763,1,7.1647,3,AMIiTvEIDP,4.71,vOp,zWVhhQDuX,1,4,1,2,3,kzG,2.52,ujGwEFFZpO,1
yfLW,1,4.7245,lGqH,jo,ahKLKpZL,1.62,7,4.823,1.09,4.23,2.15757,1,qutIb,CoLG,IDtF,JKD,AmY,3.76214,yER
1.59058,fSxcaUo,bdneBtlMo,ZNkK,Ca,2.2404,NqVI,3.88738,2,fzz,7,2.31275,2.7211,4.01329,1.8389,bbJr,ONl,VBm,GCEFgtuVYu,dKC
kIiQ,NjFMswh,JQtjPgiHR,2,1.90681,7.9357,2,9,2.238,fBw,1,naLv,2,2,pLzo,Jybw,dKl,2,fCleDPjWhK,1
pANS,WAMAILB,tgVPGnlcc,1,qY,pGkXtRSe,CxJo,6.78794,2,zmP,7.57,MhpN,2,3,1.1103,KHsN,2,2,OWQPiocDOj,2.39426
2,UjgWtiA,6,UPVr,1.19184,6,thXl,4,jeWZP,1,5,1,ovHOt,1,2.932,1,Qzo,1.48,sgoCIySmyV,1.76326
hclZ,2.686,1,3.46,1.5618,7,1.89,8,GEEim,dqb,8,CQZF,3.73513,mMObk,3,1,Ueh,2.09,6,2.20126
LLNH,CnOaelj,3.0544,1.42,Ef,7,3.89,3.35907,AKFKF,1,5,2.31036,WndoN,DHeyy,2,1,1,PMd,dSKdpSOtkU,1
3,1,2.6413,kjLu,1.39152,vzLQZNon,3.68,NIPXTjgXiT,uMxKB,2,8.16,1.30285,zvOYC,ZdVsp,2.7,1,1.6828,1,aDfnQWCoko,2.46686
2,qOwlabQ,8.8242,2,1.36013,6,2.34,6,1.882,2,5.64,1.09383,1,4,ulyz,3.85,2,2.31,YvOWBgeoqY,1.72357
1,4,8.6369,HGwB,1.33905,2.579,FffJ,aTRnsEUUtu,4,1,1,1.4075,1.76778,1,rZSd,ROAK,Gwr,sfV,9.84736,Drl
2,otLeMYV,6,2,1.39698,6,2.95,cbVMRpKfKq,2,2.03,UZgLbxJeL,sWgt,1,1,uNfc,2.86,1.5493,pcH,AhOzeJaNEd,BSo
2.38114,1.626,6,zNXq,1,4.4262,1,1.19565,3,1,8.9,1,uaCDV,xFNXk,lnQp,WySY,ZKo,2,CiwSoOKhcM,1.65502
1.35611,6,xBXZFzVnZ,3,1.61692,1,cMyP,4,2,2,MlZoWdZJl,2.74017,4,2,RUMM,1,SJj,1,KjQvscmWou,1
